OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
18010081,1/17/18,13:16:00,1/17/18,13:39:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAMRES,Z2,Howell Residence Hall   10   Z2,640,,Williams Street NW,33.77213571,-84.39098413,1
18010104,1/20/18,22:45:00,1/20/18,23:13:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAMRES,Z2,Fourth Street Apartments,733,,Techwood Drive  NW,,,1
18020187,2/1/18,23:45:00,2/1/18,23:45:00,3562,Marijuana - Possession of,Further Investigation,,ONCAMRES,Z2,Towers Residence Hall,112,,Bobby Dodd Way NW,,,1
18020206,2/4/18,9:40:00,2/4/18,10:15:00,9999,Non-Crime (not reported to state),Closed/Cleared,,PUB,OFFCAM,North Avenue @ Techwood Drive NW,,,,33.77131,-84.392067,1
18020211,2/3/18,15:00:00,2/5/18,19:15:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Clough Undergraduate Learning Commons  166  Z2,266,,Fourth Street NW,33.7746818,-84.39637939,1
18020226,2/8/18,16:38:00,2/8/18,17:45:00,5499,Traffic Offense (describe offense),Closed/Cleared,,NONCAM,Z4, Northside Drive  NW @ Marietta Street  NW,,,,,,1
18020242,2/11/18,1:30:00,2/11/18,2:00:00,2399,Larceny Offense Free Text,Closed/Cleared,Unfounded,NONCAM,Z3,Sigma Alpha Epsilon Fraternity   323  Z3,221,,Fourth Street NW,33.77609342,-84.39453418,1
18020246,2/11/18,19:33:00,2/11/18,19:40:00,9999,Non-Crime (not reported to state),Closed/Cleared,,PUB,Z1,,,,State Street  NW and Calhoun Street  NW,33.78195744,-84.39660566,1
18020387,2/26/18,13:56:00,2/26/18,14:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Library,704,,Cherry Street  NW,,,1
18030436,3/3/18,16:18:00,3/3/18,16:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z4,Campus Recreation Center Parking Deck,750,,Ferst Drive  NW,33.77619076,-84.40390717,1
18020238,2/10/18,4:09:00,2/10/18,5:00:00,9999W,,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,,711,,Techwood Drive  NW,,,1
18020261,2/13/18,13:42:00,2/13/18,13:44:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z3,Student Center,351,,Ferst Drive NW,,,1
18020319,2/20/18,11:00:00,2/20/18,11:05:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,Beringause Building   46   Z1,879,,Hemphill Avenue NW,33.77895641,-84.40131466,1
18030419,3/1/18,17:52:00,3/1/18,18:10:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z4,Campus Recreation Center   160   Z4,750,,Ferst Drive NW,,,1
18030424,3/1/18,15:30:00,3/2/18,6:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Bobby Dodd Stadium   17   Z2,155,,North Avenue NW,33.771865,-84.393316,1
18010019,1/6/18,13:30:00,1/6/18,13:45:00,8399,,Closed/Cleared,Prosecution Declined,ONCAMRES,Z2,Glenn Residence Hall,118,,Bobby Dodd Way  NW,,,1
18010037,1/1/18,13:00:00,,,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAMRES,Z4,Crecine Residence Hall   131   Z4,900,,Hemphill Avenue NW,33.7800571,-84.40351893,1
18010060,1/13/18,1:20:00,1/13/18,2:00:00,4104,Liquor - Possession Of,Closed/Cleared,Prosecution Declined,ONCAM,Z3,,,,Ferst Drive @ Hemphill Avenue NW,33.778497,-84.40137,1
18010133,1/23/18,16:30:00,1/23/18,20:00:00,2308,Larceny - From Building,Closed/Cleared,Unfounded,ONCAM,Z3,Klaus Advanced Computing Building,266,,Ferst Drive  NW,,,1
18010145,1/26/18,22:15:00,1/26/18,22:25:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z4,Campus Recreation Center,750,,Ferst Drive NW,,,1
18020176,1/31/18,16:45:00,2/1/18,9:00:00,2308,Larceny - From Building,Further Investigation,,ONCAM,Z2,Scheller College of Business,800,,West Peachtree Street NW,33.77628053,-84.38801865,1
18020191,2/2/18,15:15:00,2/2/18,15:45:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Clough Undergraduate Learning Commons,266,,Fourth Street NW,33.7746818,-84.39637939,1
18020213,2/6/18,9:30:00,2/6/18,10:00:00,2399,Larceny Offense Free Text,Closed/Cleared,Unfounded,ONCAM,Z1,O'Keefe Building   33   Z1,151,,Sixth Street NW,33.7738,-84.3945,1
18020259,2/13/18,11:48:00,2/13/18,11:48:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z4,Student Health Center,740,,Ferst Drive  NW,33.77483366,-84.40311079,1
18020270,2/15/18,8:15:00,2/15/18,8:15:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Technology Square Parking Deck,770,,Spring Street  NW,33.77558662,-84.38947547,1
18020370,2/23/18,19:30:00,2/24/18,11:11:00,9999,Non-Crime (not reported to state),Further Investigation,,ONCAM,Z3,Student Center,351,,Ferst Drive  NW,33.77895641,-84.40131466,1
